sample_id,run_index,json_ok,risk_level,risk_score,threat_ids,reason,raw
A,1,1,High,8,11111111-1111-4111-8111-000000000001|11111111-1111-4111-8111-000000000003|11111111-1111-4111-8111-000000000005|11111111-1111-4111-8111-000000000007|11111111-1111-4111-8111-000000000009|11111111-1111-4111-8111-00000000000b,訊息中提到帳號異常登入並要求立即進行身分驗證; 對方以強制驗證模式施壓，並設定時間限制; 提供具體的 OTP 驗證步驟，並要求回覆該 OTP; 對方在質疑後仍持續施壓，並強調不配合會有帳號停權的後果; 此行為符合釣魚及社交工程的特徵，存在高風險。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [
    ""11111111-1111-4111-8111-000000000001"",
    ""11111111-1111-4111-8111-000000000003"",
    ""11111111-1111-4111-8111-000000000005"",
    ""11111111-1111-4111-8111-000000000007"",
    ""11111111-1111-4111-8111-000000000009"",
    ""11111111-1111-4111-8111-00000000000b""
  ],
  ""reason"": ""訊息中提到帳號異常登入並要求立即進行身分驗證; 對方以強制驗證模式施壓，並設定時間限制; 提供具體的 OTP 驗證步驟，並要求回覆該 OTP; 對方在質疑後仍持續施壓，並強調不配合會有帳號停權的後果; 此行為符合釣魚及社交工程的特徵，存在高風險。""
}"
A,2,1,High,8,11111111-1111-4111-8111-000000000001|11111111-1111-4111-8111-000000000003|11111111-1111-4111-8111-000000000005|11111111-1111-4111-8111-000000000007|11111111-1111-4111-8111-000000000009,訊息中提到帳號異常登入並要求立即進行身分確認; 對方持續施壓要求提供 OTP，並聲稱若不執行將導致帳號停權; 提及的「強制驗證模式」及「例外程序」缺乏透明度，可能是誘導手法; 使用者對於提供 OTP 表示疑慮，但仍在壓力下提供了 OTP，顯示出明顯的社交工程風險。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""11111111-1111-4111-8111-000000000001"", ""11111111-1111-4111-8111-000000000003"", ""11111111-1111-4111-8111-000000000005"", ""11111111-1111-4111-8111-000000000007"", ""11111111-1111-4111-8111-000000000009""],
  ""reason"": ""訊息中提到帳號異常登入並要求立即進行身分確認; 對方持續施壓要求提供 OTP，並聲稱若不執行將導致帳號停權; 提及的「強制驗證模式」及「例外程序」缺乏透明度，可能是誘導手法; 使用者對於提供 OTP 表示疑慮，但仍在壓力下提供了 OTP，顯示出明顯的社交工程風險。""
}"
A,3,1,High,8,11111111-1111-4111-8111-000000000001|11111111-1111-4111-8111-000000000003|11111111-1111-4111-8111-000000000005|11111111-1111-4111-8111-000000000007|11111111-1111-4111-8111-000000000009|11111111-1111-4111-8111-00000000000b,訊息中聲稱帳號異常並要求立即進行身分驗證; 施壓要求提供 OTP，並強調若不執行將導致帳號停權; 對方在質疑後仍持續施壓，並提供緊急處理的理由; 提供的解決方案不符合一般資安規範，可能為社交工程手法。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [
    ""11111111-1111-4111-8111-000000000001"",
    ""11111111-1111-4111-8111-000000000003"",
    ""11111111-1111-4111-8111-000000000005"",
    ""11111111-1111-4111-8111-000000000007"",
    ""11111111-1111-4111-8111-000000000009"",
    ""11111111-1111-4111-8111-00000000000b""
  ],
  ""reason"": ""訊息中聲稱帳號異常並要求立即進行身分驗證; 施壓要求提供 OTP，並強調若不執行將導致帳號停權; 對方在質疑後仍持續施壓，並提供緊急處理的理由; 提供的解決方案不符合一般資安規範，可能為社交工程手法。""
}"
A,4,1,High,8,11111111-1111-4111-8111-000000000001|11111111-1111-4111-8111-000000000003|11111111-1111-4111-8111-000000000005|11111111-1111-4111-8111-000000000007|11111111-1111-4111-8111-000000000009|11111111-1111-4111-8111-00000000000b,訊息中提到帳號異常登入及強制驗證，顯示出明確的施壓行為；對方要求提供 OTP，這是典型的釣魚手法；張家銘(IT 支援)的身份雖然看似正當，但其要求的行為不符合一般資安規範；林詩涵對於提供 OTP 表示疑慮，但仍受到施壓，顯示出對方不斷強調時間限制以迫使其行動。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [
    ""11111111-1111-4111-8111-000000000001"",
    ""11111111-1111-4111-8111-000000000003"",
    ""11111111-1111-4111-8111-000000000005"",
    ""11111111-1111-4111-8111-000000000007"",
    ""11111111-1111-4111-8111-000000000009"",
    ""11111111-1111-4111-8111-00000000000b""
  ],
  ""reason"": ""訊息中提到帳號異常登入及強制驗證，顯示出明確的施壓行為；對方要求提供 OTP，這是典型的釣魚手法；張家銘(IT 支援)的身份雖然看似正當，但其要求的行為不符合一般資安規範；林詩涵對於提供 OTP 表示疑慮，但仍受到施壓，顯示出對方不斷強調時間限制以迫使其行動。""
}"
A,5,1,High,8,11111111-1111-4111-8111-000000000001|11111111-1111-4111-8111-000000000003|11111111-1111-4111-8111-000000000005|11111111-1111-4111-8111-000000000007|11111111-1111-4111-8111-000000000009|11111111-1111-4111-8111-00000000000b,訊息中提到帳號異常登入並要求立即進行身份驗證; 對方強調若不配合將會停權，施加時間壓力; 提供具體的操作步驟以獲取 OTP，這是典型的社交工程手法; 使用 IT 支援的身份進行假冒，增加可信度; 對方在質疑後仍持續施壓，未能提供合理的解釋。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [
    ""11111111-1111-4111-8111-000000000001"",
    ""11111111-1111-4111-8111-000000000003"",
    ""11111111-1111-4111-8111-000000000005"",
    ""11111111-1111-4111-8111-000000000007"",
    ""11111111-1111-4111-8111-000000000009"",
    ""11111111-1111-4111-8111-00000000000b""
  ],
  ""reason"": ""訊息中提到帳號異常登入並要求立即進行身份驗證; 對方強調若不配合將會停權，施加時間壓力; 提供具體的操作步驟以獲取 OTP，這是典型的社交工程手法; 使用 IT 支援的身份進行假冒，增加可信度; 對方在質疑後仍持續施壓，未能提供合理的解釋。""
}"
B,1,1,High,8,11111111-1111-4111-8111-00000000001e|11111111-1111-4111-8111-000000000029,包含可疑的外部連結，可能引導使用者執行不明的腳本; 提及 checksum 以增加信任感，可能誘導使用者執行不安全的操作; 對於 CI patch 的要求，強調必須在特定時間內執行，顯示出施壓的行為。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""11111111-1111-4111-8111-00000000001e"", ""11111111-1111-4111-8111-000000000029""],
  ""reason"": ""包含可疑的外部連結，可能引導使用者執行不明的腳本; 提及 checksum 以增加信任感，可能誘導使用者執行不安全的操作; 對於 CI patch 的要求，強調必須在特定時間內執行，顯示出施壓的行為。""
}"
B,2,1,High,8,11111111-1111-4111-8111-00000000001e|11111111-1111-4111-8111-000000000029,包含可疑的外部連結，可能誘導用戶執行不明的程式碼; 對於 CI patch 的要求，強調在下班前執行，施加時間壓力; 提及 checksum，可能試圖增加信任感，實際上可能是惡意行為的掩護。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""11111111-1111-4111-8111-00000000001e"", ""11111111-1111-4111-8111-000000000029""],
  ""reason"": ""包含可疑的外部連結，可能誘導用戶執行不明的程式碼; 對於 CI patch 的要求，強調在下班前執行，施加時間壓力; 提及 checksum，可能試圖增加信任感，實際上可能是惡意行為的掩護。""
}"
B,3,1,High,8,11111111-1111-4111-8111-000000000029,訊息中提到請大家在下班前執行 CI patch，這可能涉及到執行不明來源的程式碼；提及的 checksum 也可能是誘導使用者執行惡意程式；對於 CI patch 的來源未經確認，存在安全風險。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""11111111-1111-4111-8111-000000000029""],
  ""reason"": ""訊息中提到請大家在下班前執行 CI patch，這可能涉及到執行不明來源的程式碼；提及的 checksum 也可能是誘導使用者執行惡意程式；對於 CI patch 的來源未經確認，存在安全風險。""
}"
B,4,1,High,8,11111111-1111-4111-8111-00000000001e|11111111-1111-4111-8111-000000000029,包含可疑的連結，可能誘導用戶執行不明的腳本；訊息中提及 checksum，可能試圖增加信任感以誘導執行；對於 CI patch 的要求，可能存在強迫性施壓的情況。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""11111111-1111-4111-8111-00000000001e"", ""11111111-1111-4111-8111-000000000029""],
  ""reason"": ""包含可疑的連結，可能誘導用戶執行不明的腳本；訊息中提及 checksum，可能試圖增加信任感以誘導執行；對於 CI patch 的要求，可能存在強迫性施壓的情況。""
}"
B,5,1,High,8,11111111-1111-4111-8111-00000000001e|11111111-1111-4111-8111-000000000029,包含可疑的連結，可能誘導使用者執行不安全的操作; 提及的 CI patch 需要確認來源，存在安全風險; 對於 patch.sh 的執行有明確的警告，顯示出潛在的社交工程風險。,"{
  ""risk_level"": ""High"",
  ""risk_score"": 8,
  ""threat_message_ids"": [""11111111-1111-4111-8111-00000000001e"", ""11111111-1111-4111-8111-000000000029""],
  ""reason"": ""包含可疑的連結，可能誘導使用者執行不安全的操作; 提及的 CI patch 需要確認來源，存在安全風險; 對於 patch.sh 的執行有明確的警告，顯示出潛在的社交工程風險。""
}"
